property_id,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,Total_Area
237062,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,For Sale,2,2/4/2019,1089.004
346905,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,5/4/2019,15246.056
386513,House,16500000,G-15,Islamabad,Islamabad Capital,33.631486,72.926559,6,For Sale,5,7/17/2019,2178.008
656161,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.70757294,73.15119934,4,For Sale,4,4/5/2019,10890
841645,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/10/2019,2178.008
850762,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,8,For Sale,8,4/5/2019,87120
937975,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,8,For Sale,8,1/4/2019,5445
1258636,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,5/5/2019,16879.561999999998
1402466,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,10/19/2018,5445
1418706,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679211,72.988787,5,For Sale,5,6/27/2019,5445
1425602,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,3,For Sale,3,6/3/2019,19329.821
1586658,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,2,2/4/2019,21235.578
1623818,House,400000000,F-6,Islamabad,Islamabad Capital,33.7315316,73.06569636,0,For Sale,0,7/4/2019,245025
1665024,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,5,For Sale,3,6/4/2019,2722.51
1879795,Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,For Sale,1,7/3/2019,8439.780999999999
1879796,Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Sale,2,5/5/2019,1089.004
1947817,House,19000000,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,6/20/2019,2722.51
2230469,House,80000000,DHA Defence,Islamabad,Islamabad Capital,33.541728,73.094103,7,For Sale,7,7/16/2019,10890
2234957,House,26900000,B-17,Islamabad,Islamabad Capital,33.694495,72.826653,6,For Sale,6,2/4/2019,5445
2384979,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,0,For Sale,0,6/13/2019,4083.765
2642166,House,55000000,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,7,For Sale,6,7/17/2019,3811.514
2642249,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2/4/2019,1361.255
2651838,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,3,For Sale,3,3/6/2019,32670
2682075,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,3,5/5/2019,22869.084
2771097,House,4500000,Garden Town,Islamabad,Islamabad Capital,33.636132,73.113921,4,For Sale,4,1/5/2019,12795.797
2842741,House,6800000,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,7/17/2019,1089.004
2873584,House,20000000,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,6/29/2019,3267.012
2883507,Flat,19400000,Blue Area,Islamabad,Islamabad Capital,33.713845,73.06097,1,For Sale,1,6/27/2019,11706.793
3098002,House,100000000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,1/5/2019,48460.67799999999
3101600,Flat,8000000,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,2,For Sale,2,5/5/2019,18240.817
3166573,Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Sale,3,5/5/2019,14429.302999999998
3285142,House,220000000,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,1/5/2019,114345
3310804,House,4500000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,11/6/2018,1361.255
3371338,House,12500000,I-16,Islamabad,Islamabad Capital,33.594496,72.926595,5,For Sale,6,7/4/2019,2178.008
3626467,House,230000000,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,4,For Sale,4,6/12/2019,136125
347795,House,220000000,Model Town,Lahore,Punjab,31.48386866,74.3256855,0,For Sale,0,7/17/2019,32670
482892,House,40000000,Multan Road,Lahore,Punjab,31.431593,74.17998,5,For Sale,5,10/6/2018,5445
555962,House,9500000,Eden,Lahore,Punjab,31.499348,74.416959,0,For Sale,3,7/3/2019,2450.259
562843,House,125000000,Gulberg,Lahore,Punjab,31.522069,74.355512,7,For Sale,8,4/4/2019,5445
686990,House,21000000,Allama Iqbal Town,Lahore,Punjab,31.506483,74.286017,5,For Sale,6,4/4/2019,2994.7609999999995
785289,House,52000000,Gulberg,Lahore,Punjab,31.495909,74.350569,6,For Sale,5,6/2/2019,5445
891543,House,16500000,Military Accounts Housing Society,Lahore,Punjab,31.421229,74.28556,7,For Sale,6,7/3/2019,2178.008
983065,House,32500000,EME Society,Lahore,Punjab,31.439978,74.209685,0,For Sale,5,7/3/2019,5445
983066,House,31500000,EME Society,Lahore,Punjab,31.437744,74.21349,0,For Sale,6,7/3/2019,5445
983075,House,40000000,Izmir Town,Lahore,Punjab,31.409106,74.181662,0,For Sale,6,7/3/2019,87120
1286643,House,13500000,Eden,Lahore,Punjab,31.441113,74.239683,4,For Sale,4,4/4/2019,20418.825
1402784,House,87500000,Upper Mall,Lahore,Punjab,31.542114,74.355898,5,For Sale,4,6/30/2019,65340
1606710,House,16500000,Cavalry Ground,Lahore,Punjab,31.500557,74.36773,0,For Sale,4,4/4/2019,2722.51
1646880,House,18500000,Bahria Town,Lahore,Punjab,31.381706,74.195294,0,For Sale,0,7/4/2019,2722.51
1794392,House,23500000,Askari,Lahore,Punjab,31.537239,74.420211,4,For Sale,4,6/18/2019,2722.51
1861954,House,22500000,Bedian Road,Lahore,Punjab,31.473474,74.429569,4,For Sale,4,4/4/2019,5445
1871116,House,50000000,Agrics Town,Lahore,Punjab,31.441625,74.224648,7,For Sale,6,7/10/2019,4900.518
1997947,House,39500000,Gulberg,Lahore,Punjab,31.526312,74.347959,6,For Sale,6,6/11/2019,2722.51
2052081,House,27500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,3267.012
2146098,House,40000000,Chaman Park,Lahore,Punjab,31.567912,74.399192,3,For Sale,6,1/4/2019,2994.7609999999995
2311887,House,45000000,Askari,Lahore,Punjab,31.537239,74.420211,6,For Sale,5,6/18/2019,5445
2379549,House,3200000,Chungi Amar Sadhu,Lahore,Punjab,31.450925,74.354287,2,For Sale,3,12/5/2018,816.7529999999999
2439750,House,21200000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,3,6/18/2019,2722.51
2439775,House,23000000,Askari,Lahore,Punjab,31.537458,74.413323,5,For Sale,4,6/18/2019,2722.51
2439785,House,21500000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,2722.51
2439790,House,21500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,2722.51
2471472,House,40000000,Askari,Lahore,Punjab,31.537458,74.413323,6,For Sale,5,6/18/2019,5445
2471478,House,26000000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,2722.51
2510609,House,21000000,Askari,Lahore,Punjab,31.537458,74.413323,4,For Sale,4,6/18/2019,2722.51
2510625,House,23000000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,2722.51
2510674,House,23000000,Askari,Lahore,Punjab,31.533161,74.419481,6,For Sale,5,6/18/2019,2722.51
2747251,House,57500000,EME Society,Lahore,Punjab,31.439978,74.209685,5,For Sale,5,4/3/2019,5445
2794766,House,620000000,GOR,Lahore,Punjab,31.543431,74.344225,8,For Sale,8,5/3/2019,353925
2801879,House,5500000,Karim Park,Lahore,Punjab,31.590234,74.300365,3,For Sale,3,6/11/2019,6806.275
2821111,House,50000000,Gulberg,Lahore,Punjab,31.53842,74.352357,6,For Sale,5,7/3/2019,5445
2913869,House,12000000,Cantt,Lahore,Punjab,31.49858,74.40927,6,For Sale,6,12/5/2018,2178.008
3051476,House,65000000,Valencia Housing Society,Lahore,Punjab,31.40537,74.257078,0,For Sale,0,6/2/2019,10890
3217881,House,1250000000,Gulberg,Lahore,Punjab,31.519435,74.345548,0,For Sale,0,2/3/2019,43560
3222456,House,42500000,Gulshan-e-Ravi,Lahore,Punjab,31.551184,74.284058,8,For Sale,8,4/4/2019,59895
3242351,House,66500000,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0,For Sale,0,4/3/2019,10890
3277952,House,12000000,Al-Raheem Garden,Lahore,Punjab,31.597234,74.474513,5,For Sale,5,7/3/2019,1633.506
3292607,House,40000000,EME Society,Lahore,Punjab,31.437744,74.21349,7,For Sale,6,4/4/2019,5445
3341826,House,180000000,Gulberg,Lahore,Punjab,31.505678,74.348202,7,For Sale,5,7/3/2019,255915
3442797,House,17000000,Mateen Avenue,Lahore,Punjab,31.441992,74.291389,6,For Sale,5,3/5/2019,26408.347
3463063,House,47500000,EME Society,Lahore,Punjab,31.434668,74.214005,0,For Sale,0,5/3/2019,5445
